student_id,name,age_at_enrollment,gender,marital_status,major_field,attendance,displaced,international,special_needs,admission_pathway,application_order,admission_grade,previous_education_level,previous_qualification_grade,tuition_fees_up_to_date,scholarship_holder,debtor,sem1_enrolled,sem1_approved,sem1_grade,sem1_evaluations,sem1_without_evaluations,sem1_credited,sem2_enrolled,sem2_approved,sem2_grade,sem2_evaluations,sem2_without_evaluations,sem2_credited,mother_education_level,father_education_level,mother_occupation_group,father_occupation_group
S023,,18,0,1,경영,1,0,0,0,편입·전과,1,130.3,Vocational,146.1,1,1,0,5,4,13.4,7,0,0,6,3,17.2,5,2,1,대학,중등교육 이하,기술·생산,기술·생산
S024,,23,0,1,경영,1,1,0,0,일반전형,0,134.1,Secondary,145.3,1,0,0,7,6,16.0,8,0,0,7,7,17.0,9,0,0,고등학교,중등교육 이하,사무·서비스,사무·서비스
S025,,37,0,1,경영·서비스,1,0,0,0,일반전형,0,129.6,Secondary,123.6,0,1,0,5,2,12.5,7,0,1,6,3,10.0,8,0,0,중등교육 이하,대학,사무·서비스,기술·생산
S026,,18,0,1,사회,1,1,1,0,일반전형,0,139.0,Secondary,128.4,0,0,0,7,6,15.8,8,0,0,6,6,15.1,7,0,0,중등교육 이하,중등교육 이하,기술·생산,사무·서비스
S027,,19,1,1,자연·농생명,1,1,0,0,일반전형,1,132.2,Secondary,129.5,1,1,0,8,8,16.1,9,0,0,7,7,16.3,8,0,0,중등교육 이하,중등교육 이하,무직·기타,사무·서비스
S028,,18,1,1,경영,1,1,0,0,일반전형,0,133.2,Secondary,141.4,1,0,0,8,4,15.2,9,1,0,8,6,16.3,9,0,0,고등학교,중등교육 이하,사무·서비스,사무·서비스
S029,,21,0,1,경영,1,1,0,1,편입·전과,1,132.3,Secondary,149.7,1,0,1,5,3,11.7,5,1,0,6,1,12.5,7,1,0,고등학교,고등학교,기술·생산,기술·생산
S030,,24,0,1,사회,0,1,0,0,일반전형,0,107.2,Secondary,152.6,1,1,0,5,2,13.1,6,1,0,5,3,13.7,6,0,0,대학,중등교육 이하,사무·서비스,전문·관리직
S031,,38,1,1,보건,1,1,0,0,성인학습자 전형,0,154.1,Secondary,134.6,1,0,0,6,3,13.1,6,0,0,5,3,10.3,5,2,0,중등교육 이하,중등교육 이하,무직·기타,사무·서비스
S032,,18,0,1,예술·디자인,1,1,0,0,일반전형,0,98.5,Secondary,111.5,1,0,1,6,4,10.5,8,0,0,6,3,13.5,7,0,0,중등교육 이하,중등교육 이하,전문·관리직,사무·서비스
S033,,18,1,1,경영,1,1,0,0,성인학습자 전형,0,131.6,Below secondary,126.1,0,1,0,4,4,15.0,5,0,0,3,3,14.2,3,0,1,중등교육 이하,중등교육 이하,기술·생산,기술·생산
S034,,23,0,1,인문·사회,1,0,0,0,편입·전과,0,125.0,Secondary,121.4,1,0,0,6,3,14.6,6,1,1,6,6,14.7,8,0,0,중등교육 이하,중등교육 이하,사무·서비스,기술·생산
S035,,20,0,2,경영·서비스,1,1,0,0,일반전형,4,122.8,Secondary,124.8,1,0,0,5,2,14.3,6,1,1,4,1,12.5,5,1,0,대학,중등교육 이하,기술·생산,전문·관리직
S036,,24,1,2,예술·디자인,1,1,0,0,일반전형,0,140.6,Secondary,138.6,1,0,0,7,3,14.6,8,1,1,8,0,9.9,5,4,0,고등학교,대학,무직·기타,사무·서비스
S037,,18,0,1,사회,1,1,0,0,편입·전과,0,137.0,Secondary,128.1,1,0,0,6,4,12.8,7,1,1,6,3,12.6,5,1,0,고등학교,고등학교,기술·생산,기술·생산
S038,,21,1,1,예술·디자인,1,1,0,0,일반전형,0,139.1,Vocational,143.8,1,0,0,6,3,13.3,5,1,0,5,4,12.5,6,1,1,고등학교,중등교육 이하,기술·생산,사무·서비스
S039,,19,0,1,예술·디자인,1,0,0,0,일반전형,0,145.3,Secondary,130.9,0,0,0,8,8,13.7,9,0,0,8,7,16.2,10,0,0,고등학교,중등교육 이하,기술·생산,기술·생산
S040,,22,1,1,경영,1,0,0,0,일반전형,1,134.8,Below secondary,111.5,1,0,1,6,1,14.0,5,1,0,5,2,12.4,7,0,0,고등학교,중등교육 이하,무직·기타,기술·생산
S041,,46,1,1,경영,0,0,0,0,외국인·국제학생 전형,1,130.7,Secondary,117.3,1,1,0,7,4,14.1,6,2,0,6,3,12.9,6,1,0,고등학교,고등학교,무직·기타,전문·관리직
S042,,26,0,1,사회,1,1,1,0,일반전형,2,127.8,Secondary,118.3,0,0,1,6,4,15.9,7,0,0,7,4,12.7,6,2,0,중등교육 이하,고등학교,사무·서비스,사무·서비스
S043,,22,1,1,보건,1,1,0,0,일반전형,0,143.0,Secondary,126.5,1,0,0,7,5,14.2,7,1,0,8,6,16.2,7,1,0,중등교육 이하,고등학교,사무·서비스,사무·서비스
S044,,38,1,4,보건,1,0,0,0,성인학습자 전형,0,115.0,Secondary,115.6,1,0,0,7,4,13.1,8,0,0,7,4,11.8,9,0,0,중등교육 이하,고등학교,기술·생산,기술·생산
S045,,18,0,1,자연·농생명,1,0,0,0,일반전형,0,136.9,Secondary,126.7,1,0,0,6,4,14.1,5,1,0,5,4,12.6,7,0,0,중등교육 이하,고등학교,기술·생산,기술·생산
S046,,34,1,1,사회,0,1,0,0,일반전형,0,121.2,Secondary,146.2,0,0,0,6,3,10.6,5,2,0,7,5,13.7,8,1,0,대학,중등교육 이하,기술·생산,사무·서비스
S047,,19,1,2,경영,0,1,0,0,일반전형,3,142.4,Secondary,138.6,1,1,0,7,4,17.4,5,2,0,8,5,18.4,10,0,0,중등교육 이하,중등교육 이하,기술·생산,기술·생산
S048,,23,1,1,자연·농생명,1,0,0,0,외국인·국제학생 전형,1,128.5,Secondary,117.7,1,1,0,7,4,14.6,5,2,1,7,5,14.8,6,1,0,대학원,중등교육 이하,사무·서비스,기술·생산
S049,,19,0,1,보건,1,0,0,0,일반전형,0,135.1,Vocational,155.1,1,0,0,6,6,18.5,6,0,0,6,4,14.4,7,0,0,중등교육 이하,중등교육 이하,사무·서비스,사무·서비스
S050,,21,1,1,인문·사회,1,0,0,0,기타·특수전형,0,136.5,Secondary,140.0,1,0,0,4,4,12.2,5,0,1,3,1,12.3,4,0,0,대학,중등교육 이하,전문·관리직,전문·관리직
S051,,20,0,1,경영,1,1,0,0,편입·전과,0,153.4,Secondary,147.9,1,0,0,7,6,16.9,9,0,0,8,6,11.8,9,0,0,대학원,중등교육 이하,전문·관리직,사무·서비스
S052,,28,1,1,보건,1,1,0,0,직업·기술교육 연계전형,1,145.5,Secondary,144.4,1,0,0,6,4,14.7,6,0,0,6,5,13.6,7,0,0,대학,중등교육 이하,사무·서비스,기술·생산
S053,,23,0,1,예술·디자인,1,0,0,0,성인학습자 전형,0,118.6,Secondary,134.4,1,0,0,7,3,11.6,6,1,0,8,2,11.2,8,1,0,중등교육 이하,중등교육 이하,사무·서비스,기술·생산
S054,,20,0,1,예술·디자인,1,0,0,0,일반전형,0,123.2,Secondary,148.2,1,0,0,6,3,12.9,7,1,0,6,2,11.6,5,1,0,대학,중등교육 이하,기술·생산,사무·서비스
S055,,23,1,1,예술·디자인,1,0,0,0,직업·기술교육 연계전형,0,137.2,Secondary,148.6,1,0,0,6,5,16.3,7,0,0,7,7,15.7,8,0,0,중등교육 이하,중등교육 이하,사무·서비스,기술·생산
S056,,22,0,1,사회,1,0,0,0,성인학습자 전형,0,157.9,Secondary,154.6,1,1,0,6,5,14.2,8,0,0,6,5,15.3,7,0,0,고등학교,중등교육 이하,기술·생산,전문·관리직
S057,,23,0,1,보건,0,0,0,0,성인학습자 전형,0,126.5,Secondary,134.2,0,0,0,6,2,11.0,5,3,0,6,1,10.5,5,2,0,대학,중등교육 이하,기술·생산,기술·생산
S058,,39,1,1,경영,1,1,0,0,일반전형,0,116.0,Secondary,129.3,1,1,0,8,2,12.4,8,1,0,7,3,14.3,9,0,1,중등교육 이하,중등교육 이하,기술·생산,사무·서비스
S059,,24,1,1,경영,1,0,0,0,성인학습자 전형,0,138.7,Secondary,137.8,1,0,0,4,4,17.1,4,0,0,5,5,15.9,6,0,0,중등교육 이하,중등교육 이하,사무·서비스,기술·생산
S060,,34,0,1,보건,1,0,1,0,기타·특수전형,0,137.5,Secondary,135.1,1,0,0,5,4,14.4,5,0,0,6,6,15.2,8,0,0,중등교육 이하,고등학교,기술·생산,기술·생산
S061,,19,1,1,예술·디자인,0,1,0,0,일반전형,0,125.0,Secondary,131.2,1,0,0,7,4,13.1,7,2,0,6,5,16.9,7,0,0,고등학교,대학,기술·생산,전문·관리직
S062,,20,0,1,보건,1,1,0,0,일반전형,3,129.7,Bachelor,126.4,1,0,0,5,4,15.5,5,0,0,5,5,19.8,5,0,1,중등교육 이하,대학,사무·서비스,사무·서비스
S063,,21,0,2,교육,1,1,0,0,편입·전과,4,128.6,Secondary,128.4,1,1,1,6,5,13.7,8,0,0,7,2,12.3,8,0,0,중등교육 이하,중등교육 이하,사무·서비스,기술·생산
S064,,21,1,1,경영·서비스,1,0,0,0,일반전형,1,142.8,Secondary,140.4,1,1,0,5,4,14.7,5,1,0,4,4,16.3,4,0,0,고등학교,중등교육 이하,사무·서비스,사무·서비스
S065,,21,0,1,예술·디자인,0,0,0,0,일반전형,0,147.0,Secondary,144.0,1,1,0,5,5,19.2,6,0,0,6,6,13.7,6,0,0,중등교육 이하,고등학교,사무·서비스,전문·관리직
S066,,22,0,1,보건,1,0,0,0,편입·전과,2,124.8,Secondary,135.4,1,1,0,6,5,13.0,5,1,0,5,3,13.9,7,0,0,고등학교,중등교육 이하,전문·관리직,사무·서비스
S067,,23,0,1,사회,1,0,0,0,일반전형,0,140.9,Secondary,153.7,1,1,0,6,4,14.5,5,1,0,6,4,15.0,7,1,1,대학,중등교육 이하,기술·생산,기술·생산
S068,,23,0,1,자연·농생명,1,0,0,0,편입·전과,0,121.0,Secondary,121.1,1,1,0,6,6,19.7,6,0,0,7,7,20.0,8,0,0,중등교육 이하,중등교육 이하,사무·서비스,전문·관리직
S069,,31,0,1,사회,1,0,0,0,일반전형,2,135.0,Secondary,134.4,1,0,0,7,5,13.3,7,1,0,6,5,17.0,6,0,0,중등교육 이하,중등교육 이하,전문·관리직,기술·생산
S070,,19,1,1,경영,1,0,0,0,성인학습자 전형,0,130.9,Secondary,113.9,1,0,0,6,5,11.9,7,1,0,6,4,13.9,8,0,0,중등교육 이하,중등교육 이하,사무·서비스,기술·생산
S071,,23,0,1,사회,1,0,0,0,일반전형,0,138.2,Secondary,126.9,1,1,0,7,7,15.4,8,0,0,7,7,17.1,9,0,1,중등교육 이하,중등교육 이하,기술·생산,기술·생산
S072,,20,0,1,경영,1,1,0,0,편입·전과,0,130.9,Below secondary,153.7,1,0,0,4,4,12.7,5,0,0,3,3,15.4,5,0,1,중등교육 이하,중등교육 이하,기술·생산,기술·생산
S073,,19,1,2,인문·사회,1,0,0,0,성인학습자 전형,2,134.5,Vocational,137.1,1,1,0,5,5,16.5,5,0,0,5,5,18.5,6,0,0,고등학교,중등교육 이하,기술·생산,사무·서비스
S074,,18,1,6,보건,1,0,0,0,성인학습자 전형,1,133.6,Secondary,124.4,1,0,0,7,2,15.2,7,2,0,8,3,12.0,6,2,0,고등학교,중등교육 이하,기술·생산,기술·생산
S075,,23,0,1,인문·사회,1,0,0,0,성인학습자 전형,0,153.0,Secondary,152.1,1,0,1,6,5,16.6,7,0,0,5,4,17.1,6,0,0,중등교육 이하,중등교육 이하,기술·생산,농림
S076,,19,1,1,사회,1,1,0,0,일반전형,0,129.5,Secondary,134.9,1,1,1,8,7,15.9,8,0,0,9,7,15.6,7,2,0,중등교육 이하,중등교육 이하,사무·서비스,사무·서비스
S077,,37,0,1,보건,1,1,0,0,특별전형,1,128.8,Secondary,143.9,0,0,0,8,2,11.3,6,2,0,8,3,12.6,8,0,1,중등교육 이하,중등교육 이하,기술·생산,전문·관리직
S078,,18,0,1,보건,1,1,0,0,직업·기술교육 연계전형,0,154.2,Secondary,162.6,1,0,0,6,4,15.1,7,1,0,7,3,13.5,8,0,0,중등교육 이하,전문·직업교육,사무·서비스,전문·관리직
S079,,20,1,1,보건,1,0,0,0,일반전형,3,141.5,Secondary,135.2,1,1,1,6,5,15.7,6,0,1,6,2,9.6,5,2,0,고등학교,중등교육 이하,사무·서비스,사무·서비스
S080,,20,0,1,경영,1,1,0,0,일반전형,0,131.2,Secondary,130.8,1,1,0,5,5,14.1,6,0,0,4,4,13.9,4,0,0,중등교육 이하,중등교육 이하,사무·서비스,전문·관리직
